source,destination,distance_km,congestion_level,accidents,time_of_day,route_id,path
T Nagar,Guindy,4.5,High,5,Morning,R1,"[[13.0424, 80.2338], [13.0108, 80.2206]]"
T Nagar,Guindy,5.2,Medium,3,Morning,R2,"[[13.0424, 80.2338], [13.0200, 80.2250], [13.0108, 80.2206]]"
T Nagar,Guindy,6.0,Low,1,Morning,R3,"[[13.0424, 80.2338], [13.0250, 80.2300], [13.0108, 80.2206]]"
Anna Nagar,Koyambedu,4.8,Medium,2,Afternoon,R4,"[[13.0878, 80.2103], [13.0696, 80.2116]]"
Anna Nagar,Koyambedu,5.4,High,4,Afternoon,R5,"[[13.0878, 80.2103], [13.0780, 80.2110], [13.0696, 80.2116]]"
Velachery,T Nagar,7.0,Medium,3,Night,R6,"[[12.9795, 80.2214], [13.0424, 80.2338]]"
Velachery,T Nagar,6.5,High,4,Night,R7,"[[12.9795, 80.2214], [13.0100, 80.2300], [13.0424, 80.2338]]"
Tambaram,Guindy,13.2,High,5,Morning,R8,"[[12.9250, 80.1181], [13.0108, 80.2206]]"
Tambaram,Guindy,14.0,Medium,3,Morning,R9,"[[12.9250, 80.1181], [12.9900, 80.1800], [13.0108, 80.2206]]"
Guindy,Koyambedu,10.5,Low,2,Evening,R10,"[[13.0108, 80.2206], [13.0696, 80.2116]]"
Guindy,Koyambedu,11.1,Medium,3,Evening,R11,"[[13.0108, 80.2206], [13.0400, 80.2150], [13.0696, 80.2116]]"
Anna Nagar,Guindy,6.8,High,5,Morning,R12,"[[13.0878, 80.2103], [13.0108, 80.2206]]"
Anna Nagar,Guindy,7.3,Medium,3,Morning,R13,"[[13.0878, 80.2103], [13.0500, 80.2150], [13.0108, 80.2206]]"
Chrompet,T Nagar,10.4,Medium,4,Afternoon,R14,"[[12.9507, 80.1496], [13.0424, 80.2338]]"
Chrompet,T Nagar,9.9,Low,2,Afternoon,R15,"[[12.9507, 80.1496], [13.0100, 80.2000], [13.0424, 80.2338]]"
Koyambedu,Velachery,11.5,Medium,3,Evening,R16,"[[13.0696, 80.2116], [12.9795, 80.2214]]"
Koyambedu,Velachery,12.0,High,5,Evening,R17,"[[13.0696, 80.2116], [13.0200, 80.2200], [12.9795, 80.2214]]"
